role;championId;win;allies;enemies
BOTTOM;901;1;41,131,157,201;133,20,1,236,888
SUPPORT;201;1;41,131,157,901;133,20,1,236,888
TOP;777;1;120,38,147,37;54,74,90,51,201
JUNGLE;120;1;777,38,147,37;54,74,90,51,201
MIDDLE;38;1;777,120,147,37;54,74,90,51,201
BOTTOM;147;1;777,120,38,37;54,74,90,51,201
SUPPORT;37;1;777,120,38,147;54,74,90,51,201
TOP;54;0;74,90,51,201;777,120,38,147,37
JUNGLE;74;0;54,90,51,201;777,120,38,147,37
MIDDLE;90;0;54,74,51,201;777,120,38,147,37
BOTTOM;51;0;54,74,90,201;777,120,38,147,37
SUPPORT;201;0;54,74,90,51;777,120,38,147,37
TOP;14;1;56,99,21,89;516,20,38,67,267
JUNGLE;56;1;14,99,21,89;516,20,38,67,267
MIDDLE;99;1;14,56,21,89;516,20,38,67,267
BOTTOM;21;1;14,56,99,89;516,20,38,67,267
SUPPORT;89;1;14,56,99,21;516,20,38,67,267
TOP;516;0;20,38,67,267;14,56,99,21,89
JUNGLE;20;0;516,38,67,267;14,56,99,21,89
MIDDLE;38;0;516,20,67,267;14,56,99,21,89
BOTTOM;67;0;516,20,38,267;14,56,99,21,89
SUPPORT;267;0;516,20,38,67;14,56,99,21,89
TOP;31;1;82,136,21,12;106,36,90,96,117
JUNGLE;82;1;31,136,21,12;106,36,90,96,117
MIDDLE;136;1;31,82,21,12;106,36,90,96,117
BOTTOM;21;1;31,82,136,12;106,36,90,96,117
SUPPORT;12;1;31,82,136,21;106,36,90,96,117
TOP;106;0;36,90,96,117;31,82,136,21,12
JUNGLE;36;0;106,90,96,117;31,82,136,21,12
MIDDLE;90;0;106,36,96,117;31,82,136,21,12
BOTTOM;96;0;106,36,90,117;31,82,136,21,12
SUPPORT;117;0;106,36,90,96;31,82,136,21,12
TOP;157;1;238,45,21,412;98,35,127,18,115
JUNGLE;238;1;157,45,21,412;98,35,127,18,115
MIDDLE;45;1;157,238,21,412;98,35,127,18,115
