League,GameId,MatchId,WinTeam,LossTeam,BestOf,SeriesScore,Gamelength,Team1Gold,Team2Gold,Team1Kills,Team2Kills
LPL,LPL/2025 Season/Grand Finals_Round 4_1_4,LPL/2025 Season/Grand Finals_Round 4_1,Bilibili Gaming,Top Esports,5.0,2-3,28:38,57386,49019,21,15
LPL,LPL/2025 Season/Grand Finals_Round 4_1_5,LPL/2025 Season/Grand Finals_Round 4_1,Bilibili Gaming,Top Esports,5.0,2-3,30:21,52297,60458,13,22
LPL,LPL/2025 Season/Grand Finals_Round 4_2_1,LPL/2025 Season/Grand Finals_Round 4_2,Top Esports,Anyone's Legend,5.0,3-1,28:43,48700,62683,8,23
LPL,LPL/2025 Season/Grand Finals_Round 4_2_2,LPL/2025 Season/Grand Finals_Round 4_2,Anyone's Legend,Top Esports,5.0,3-1,31:52,61559,56126,17,17
LPL,LPL/2025 Season/Grand Finals_Round 4_2_3,LPL/2025 Season/Grand Finals_Round 4_2,Top Esports,Anyone's Legend,5.0,3-1,37:33,71631,67860,11,13
LPL,LPL/2025 Season/Grand Finals_Round 4_2_4,LPL/2025 Season/Grand Finals_Round 4_2,Top Esports,Anyone's Legend,5.0,3-1,39:32,72229,73262,21,22
LPL,LPL/2025 Season/Regional Finals_Round 1_1_1,LPL/2025 Season/Regional Finals_Round 1_1,Top Esports,Invictus Gaming,5.0,3-1,31:53,65701,51632,17,2
LPL,LPL/2025 Season/Regional Finals_Round 1_1_2,LPL/2025 Season/Regional Finals_Round 1_1,Top Esports,Invictus Gaming,5.0,3-1,27:02,44554,54498,6,19
LPL,LPL/2025 Season/Regional Finals_Round 1_1_3,LPL/2025 Season/Regional Finals_Round 1_1,Invictus Gaming,Top Esports,5.0,3-1,33:42,63640,56043,23,13
LPL,LPL/2025 Season/Regional Finals_Round 1_1_4,LPL/2025 Season/Regional Finals_Round 1_1,Top Esports,Invictus Gaming,5.0,3-1,31:14,63774,48301,16,5
LPL,LPL/2025 Season/Regional Finals_Round 1_2_1,LPL/2025 Season/Regional Finals_Round 1_2,JD Gaming,Weibo Gaming,5.0,3-1,28:01,58367,44053,21,3
LPL,LPL/2025 Season/Regional Finals_Round 1_2_2,LPL/2025 Season/Regional Finals_Round 1_2,JD Gaming,Weibo Gaming,5.0,3-1,39:01,70400,75185,16,29
LPL,LPL/2025 Season/Regional Finals_Round 1_2_3,LPL/2025 Season/Regional Finals_Round 1_2,Weibo Gaming,JD Gaming,5.0,3-1,30:51,61334,56549,21,19
LPL,LPL/2025 Season/Regional Finals_Round 1_2_4,LPL/2025 Season/Regional Finals_Round 1_2,JD Gaming,Weibo Gaming,5.0,3-1,31:47,66883,59600,20,22
LPL,LPL/2025 Season/Regional Finals_Round 2_1_1,LPL/2025 Season/Regional Finals_Round 2_1,JD Gaming,Invictus Gaming,5.0,3-1,28:50,43095,53736,1,16
LPL,LPL/2025 Season/Regional Finals_Round 2_1_2,LPL/2025 Season/Regional Finals_Round 2_1,Invictus Gaming,JD Gaming,5.0,3-1,35:36,70978,67216,24,27
LPL,LPL/2025 Season/Regional Finals_Round 2_1_3,LPL/2025 Season/Regional Finals_Round 2_1,Invictus Gaming,JD Gaming,5.0,3-1,29:29,47699,59159,8,17
LPL,LPL/2025 Season/Regional Finals_Round 2_1_4,LPL/2025 Season/Regional Finals_Round 2_1,Invictus Gaming,JD Gaming,5.0,3-1,29:37,49628,61245,10,17
LPL,LPL/2025 Season/Split 1 Playoffs_Finals_1_1,LPL/2025 Season/Split 1 Playoffs_Finals_1,Top Esports,Anyone's Legend,5.0,1-3,37:07,75753,61880,24,16
LPL,LPL/2025 Season/Split 1 Playoffs_Finals_1_2,LPL/2025 Season/Split 1 Playoffs_Finals_1,Anyone's Legend,Top Esports,5.0,1-3,31:29,65353,50199,26,10
LPL,LPL/2025 Season/Split 1 Playoffs_Finals_1_3,LPL/2025 Season/Split 1 Playoffs_Finals_1,Top Esports,Anyone's Legend,5.0,1-3,27:16,57323,44733,22,5
LPL,LPL/2025 Season/Split 1 Playoffs_Finals_1_4,LPL/2025 Season/Split 1 Playoffs_Finals_1,Top Esports,Anyone's Legend,5.0,1-3,31:11,52625,65263,14,23
LPL,LPL/2025 Season/Split 1 Playoffs_Round 1_1_1,LPL/2025 Season/Split 1 Playoffs_Round 1_1,Bilibili Gaming,Weibo Gaming,5.0,3-1,28:27,47503,57440,8,16
LPL,LPL/2025 Season/Split 1 Playoffs_Round 1_1_2,LPL/2025 Season/Split 1 Playoffs_Round 1_1,Weibo Gaming,Bilibili Gaming,5.0,3-1,24:14,46194,40045,14,6
